participant_id	stc_ref_time	fmriprep_start	fmriprep_stop
sub-v1s6x0051318	n/a	2026-03-10T05:16:19	2026-03-10T09:40:31
sub-v1s6x0051319	n/a	2026-03-10T05:16:27	2026-03-10T08:55:09
sub-v1s6x0051320	n/a	2026-03-10T05:23:02	2026-03-10T09:35:43
sub-v1s6x0051321	n/a	2026-03-10T05:26:08	2026-03-10T09:34:31
sub-v1s6x0051362	n/a	2026-03-10T05:31:26	2026-03-10T09:09:26
sub-v1s6x0051363	n/a	2026-03-10T05:33:28	2026-03-10T09:36:44
sub-v1s6x0051364	n/a	2026-03-10T05:33:56	2026-03-10T09:46:07
sub-v1s6x0051365	n/a	2026-03-10T05:35:58	2026-03-10T09:09:37
sub-v1s6x0051366	n/a	2026-03-10T05:45:15	2026-03-10T09:44:39
sub-v1s6x0051367	n/a	2026-03-10T05:46:16	2026-03-10T08:44:06
sub-v1s6x0051368	n/a	2026-03-10T05:46:24	2026-03-10T09:12:33
sub-v1s6x0051369	n/a	2026-03-10T05:50:16	2026-03-10T10:20:46
sub-v1s6x0051370	n/a	2026-03-10T05:53:49	2026-03-10T10:20:35
sub-v1s6x0051371	n/a	2026-03-10T05:57:40	2026-03-10T10:12:14
sub-v1s6x0051372	n/a	2026-03-10T06:00:22	2026-03-10T10:07:57
sub-v1s6x0051373	n/a	2026-03-10T06:03:34	2026-03-10T10:52:50
sub-v1s6x0051606	n/a	2026-03-10T06:03:38	2026-03-10T09:00:06
sub-v1s6x0051607	n/a	2026-03-10T06:08:44	2026-03-10T10:29:07
